racer,athlete_name,athlete_url,distance,year,best_time,best_time_seconds,best_date,best_venue
Aaron Francis,Aaron Francis,https://www.powerof10.uk/Home/Athlete/d8c68749-1fe4-4de8-8304-979716c8605e,p10_5k,2022,16:55,1015.0,13/07/2022,Doncaster
Aaron Francis,Aaron Francis,https://www.powerof10.uk/Home/Athlete/d8c68749-1fe4-4de8-8304-979716c8605e,p10_5k,2023,16:49,1009.0,05/07/2023,Sheffield
Aaron Francis,Aaron Francis,https://www.powerof10.uk/Home/Athlete/d8c68749-1fe4-4de8-8304-979716c8605e,p10_5k,2024,16:36,996.0,22/03/2024,Doncaster
Aaron Francis,Aaron Francis,https://www.powerof10.uk/Home/Athlete/d8c68749-1fe4-4de8-8304-979716c8605e,p10_5k,2025,16:42,1002.0,04/07/2025,Doncaster
Al Cook,Al Cook,https://www.powerof10.uk/Home/Athlete/275a80d0-7b16-4caa-b5d8-7ca714d72b4a,p10_10k,2017,51:29,3089.0,03/12/2017,Sheffield
Al Cook,Al Cook,https://www.powerof10.uk/Home/Athlete/275a80d0-7b16-4caa-b5d8-7ca714d72b4a,p10_10k,2019,39:58,2398.0,01/12/2019,Sheffield
Al Cook,Al Cook,https://www.powerof10.uk/Home/Athlete/275a80d0-7b16-4caa-b5d8-7ca714d72b4a,p10_5k,2023,19:29,1169.0,05/07/2023,Sheffield
Al Cook,Al Cook,https://www.powerof10.uk/Home/Athlete/275a80d0-7b16-4caa-b5d8-7ca714d72b4a,p10_5k,2024,19:34,1174.0,05/06/2024,Sheffield
Al Cook,Al Cook,https://www.powerof10.uk/Home/Athlete/275a80d0-7b16-4caa-b5d8-7ca714d72b4a,p10_5k,2025,19:38,1178.0,07/05/2025,Sheffield
Alan Chapman,Alan Chapman,https://www.powerof10.uk/Home/Athlete/eb9a1b99-2246-40fe-9e7b-6ede311f96c3,p10_10k,2022,54:08,3248.0,04/12/2022,Sheffield
Alan Chapman,Alan Chapman,https://www.powerof10.uk/Home/Athlete/eb9a1b99-2246-40fe-9e7b-6ede311f96c3,p10_10k,2023,53:05,3185.0,24/09/2023,Sheffield
Alan Chapman,Alan Chapman,https://www.powerof10.uk/Home/Athlete/eb9a1b99-2246-40fe-9e7b-6ede311f96c3,p10_10k,2024,55:52,3352.0,01/12/2024,Sheffield
Alan Chapman,Alan Chapman,https://www.powerof10.uk/Home/Athlete/eb9a1b99-2246-40fe-9e7b-6ede311f96c3,p10_10k,2025,1:00:06,3606.0,07/12/2025,Sheffield
Alex Day,Alex Day,https://www.powerof10.uk/Home/Athlete/99fc35d9-b0ce-49b5-946b-2dabea4a4071,p10_10k,2022,34:16,2056.0,04/12/2022,Sheffield
Alex Day,Alex Day,https://www.powerof10.uk/Home/Athlete/99fc35d9-b0ce-49b5-946b-2dabea4a4071,p10_10k,2023,34:09,2049.0,05/02/2023,Dewsbury
Alex Day,Alex Day,https://www.powerof10.uk/Home/Athlete/99fc35d9-b0ce-49b5-946b-2dabea4a4071,p10_10k,2024,33:56,2036.0,04/02/2024,Dewsbury
Alex Day,Alex Day,https://www.powerof10.uk/Home/Athlete/99fc35d9-b0ce-49b5-946b-2dabea4a4071,p10_10k,2025,35:24,2124.0,30/11/2025,Leeds
Alex Day,Alex Day,https://www.powerof10.uk/Home/Athlete/99fc35d9-b0ce-49b5-946b-2dabea4a4071,p10_5k,2016,17:12,1032.0,21/06/2016,London
Alex Day,Alex Day,https://www.powerof10.uk/Home/Athlete/99fc35d9-b0ce-49b5-946b-2dabea4a4071,p10_5k,2022,17:22,1042.0,06/07/2022,Sheffield
Alex Day,Alex Day,https://www.powerof10.uk/Home/Athlete/99fc35d9-b0ce-49b5-946b-2dabea4a4071,p10_5k,2024,17:05,1025.0,08/05/2024,Sheffield
Alex Day,Alex Day,https://www.powerof10.uk/Home/Athlete/99fc35d9-b0ce-49b5-946b-2dabea4a4071,p10_5k,2025,17:19,1039.0,04/06/2025,Sheffield
Andrew Lewis,Andrew Lewis,https://www.powerof10.uk/Home/Athlete/6cf8b33c-9b98-4a0f-a231-af2cf362be00,p10_10k,2016,45:31,2731.0,27/11/2016,Royston
Andrew Lewis,Andrew Lewis,https://www.powerof10.uk/Home/Athlete/6cf8b33c-9b98-4a0f-a231-af2cf362be00,p10_10k,2018,53:02,3182.0,23/09/2018,Sheffield
Andrew Lewis,Andrew Lewis,https://www.powerof10.uk/Home/Athlete/6cf8b33c-9b98-4a0f-a231-af2cf362be00,p10_10k,2023,57:30,3450.0,15/10/2023,Scarborough
Andrew Lewis,Andrew Lewis,https://www.powerof10.uk/Home/Athlete/6cf8b33c-9b98-4a0f-a231-af2cf362be00,p10_10k,2024,59:06,3546.0,29/09/2024,Sheffield
Andrew Lewis,Andrew Lewis,https://www.powerof10.uk/Home/Athlete/6cf8b33c-9b98-4a0f-a231-af2cf362be00,p10_10k,2025,1:00:02,3602.0,30/11/2025,Doncaster
Andrew Lewis,Andrew Lewis,https://www.powerof10.uk/Home/Athlete/6cf8b33c-9b98-4a0f-a231-af2cf362be00,p10_10k,2026,1:30:32,5432.0,12/04/2026,Lincoln
Austin Frost,Austin Frost,https://www.powerof10.uk/Home/Athlete/f9629107-662f-423c-8976-af30f2d9c8e6,p10_10k,2016,37:58,2278.0,31/07/2016,Tenby
Austin Frost,Austin Frost,https://www.powerof10.uk/Home/Athlete/f9629107-662f-423c-8976-af30f2d9c8e6,p10_10k,2019,37:33,2253.0,28/07/2019,Tenby
Barbara Haigh,Barbara Haigh,https://www.powerof10.uk/Home/Athlete/5bfe3fdd-b51c-4357-87a5-8c113a6127e4,p10_10k,2016,54:51,3291.0,02/10/2016,Doncaster
Barbara Haigh,Barbara Haigh,https://www.powerof10.uk/Home/Athlete/5bfe3fdd-b51c-4357-87a5-8c113a6127e4,p10_10k,2017,59:10,3550.0,29/01/2017,Meltham
Barbara Haigh,Barbara Haigh,https://www.powerof10.uk/Home/Athlete/5bfe3fdd-b51c-4357-87a5-8c113a6127e4,p10_10k,2020,1:03:04,3784.0,26/01/2020,Meltham
Barbara Haigh,Barbara Haigh,https://www.powerof10.uk/Home/Athlete/5bfe3fdd-b51c-4357-87a5-8c113a6127e4,p10_10k,2022,1:02:04,3724.0,19/06/2022,Penistone
Barbara Haigh,Barbara Haigh,https://www.powerof10.uk/Home/Athlete/5bfe3fdd-b51c-4357-87a5-8c113a6127e4,p10_10k,2023,1:04:10,3850.0,18/06/2023,Penistone
Barbara Haigh,Barbara Haigh,https://www.powerof10.uk/Home/Athlete/5bfe3fdd-b51c-4357-87a5-8c113a6127e4,p10_10k,2024,1:06:01,3961.0,12/06/2024,Huddersfield
Barbara Haigh,Barbara Haigh,https://www.powerof10.uk/Home/Athlete/5bfe3fdd-b51c-4357-87a5-8c113a6127e4,p10_10k,2025,1:07:11,4031.0,26/01/2025,Meltham
Barbara Haigh,Barbara Haigh,https://www.powerof10.uk/Home/Athlete/5bfe3fdd-b51c-4357-87a5-8c113a6127e4,p10_10k,2026,1:03:45,3825.0,22/03/2026,wakefield
Barbara Haigh,Barbara Haigh,https://www.powerof10.uk/Home/Athlete/5bfe3fdd-b51c-4357-87a5-8c113a6127e4,p10_5k,2023,29:41,1781.0,07/06/2023,Sheffield
Christopher Lilley,Christopher Lilley,https://www.powerof10.uk/Home/Athlete/5aec1663-36bb-49ba-a70c-a0d5dd0ab2a2,p10_10k,2016,46:09,2769.0,13/03/2016,Dronfield Woodhouse
Christopher Lilley,Christopher Lilley,https://www.powerof10.uk/Home/Athlete/5aec1663-36bb-49ba-a70c-a0d5dd0ab2a2,p10_10k,2017,45:28,2728.0,07/05/2017,Sheffield
